fluid,operator,project_status,inplace,depth,temp,poro,perm,saturate,api_dens,visc,avg_fluid_rate,location,region,prospect_rank
Gas,NON_PERTAMINA,BOTH,4817.1,12845.0,123.20000000000002,0.1186432,155.9794,0.8418816,0.7198746,0.0,27.98884,Papua Barat,Timur,2
Gas,NON_PERTAMINA,OFFSHORE,112.0,2588.0,65.45,0.2627585,332.6764,0.4499151,0.7579312,0.0,69.68691,Laut Natuna Utara,Sumatera,0
Gas,NON_PERTAMINA,OFFSHORE,87.82,5157.0,80.85000000000001,0.2346229,93.90144,0.7015039,0.5946607,0.0,4.431742,Laut Natuna Utara,Sumatera,2
Gas,NON_PERTAMINA,OFFSHORE,353.0,4900.0,92.61710456781516,0.2142645,267.0808,0.6981891,0.7134582,0.0,78.9695,Laut Natuna Utara,Sumatera,2
Gas,NON_PERTAMINA,OFFSHORE,228.39,7000.0,72.875,0.256789,101.7256,0.3504877,0.7323818,0.0,36.24105,Laut Natuna Utara,Sumatera,2
Gas,NON_PERTAMINA,OFFSHORE,57.5,4921.0,97.9,0.2209758,165.1224,0.4033321,0.8085093,0.0,0.6778655,Laut Natuna Utara,Sumatera,2
Gas,NON_PERTAMINA,OFFSHORE,105.1,4921.0,99.55,0.2290575,123.7731,0.3759578,0.7953225,0.0,0.6075634,Laut Natuna Utara,Sumatera,2
Gas,NON_PERTAMINA,OFFSHORE,167.6,6500.0,96.25,0.1674507,283.0612,0.4339894,0.7875925,0.0,13.54275,Laut Natuna Utara,Sumatera,2
Gas,NON_PERTAMINA,ONSHORE,83.094,9465.0,178.75000000000003,0.1341557,18.67255,0.5578355,0.71337,0.0,15.35547,Aceh,Sumatera,2
Gas,NON_PERTAMINA,ONSHORE,555.004,9498.0,185.9,0.144894,17.18907,0.5559376,0.760285,0.0,25.06092,Aceh,Sumatera,2
Gas,NON_PERTAMINA,ONSHORE,86.611,2396.5,55.825,0.2142408,267.0808,0.413289,0.6710176,0.0,79.61604,Aceh,Sumatera,2
Gas,NON_PERTAMINA,ONSHORE,14112.0,10050.0,171.60000000000002,0.1751823,199.1338,0.7793997,0.779541,0.0,166.0269,Aceh,Sumatera,2
Gas,NON_PERTAMINA,ONSHORE,305.8,8353.0,177.0,0.1338829,18.67255,0.7092644,0.71337,0.0,35.85315,Aceh,Sumatera,2
Gas,NON_PERTAMINA,ONSHORE,696.0,8251.0,112.55805801746428,0.1090867,118.2338,0.2177972,0.7977383,0.0,61.7821,Aceh,Sumatera,2
Gas,PERTAMINA,BOTH,1867.69,4120.0,86.79892867402314,0.238109,59.30872,0.8662552,0.6248093,0.0,16.99816,Selat Malaka,Sumatera,2
Gas,PERTAMINA,OFFSHORE,496.8,3775.0,84.0044226961409,0.3082793,504.9562,0.6793329,0.8475984,0.0,65.69857,Jawa Barat,Jawa,2
Gas,PERTAMINA,OFFSHORE,360.0,3775.0,84.0044226961409,0.2626095,332.6764,0.5920855,0.8382971,0.0,53.45844,Jawa Barat,Jawa,2
Gas,PERTAMINA,OFFSHORE,239.0,3775.0,84.0044226961409,0.2739607,151.1685,0.6236232,0.8365216,0.0,14.39353,Jawa Barat,Jawa,2
Gas,PERTAMINA,OFFSHORE,50.0,2000.0,66.2316006569589,0.2851598,41.20127,0.6628349,0.8397901,0.0,11.01417,Jawa Barat,Jawa,2
Gas,PERTAMINA,OFFSHORE,80.7,2300.0,67.65,0.2097342,153.8532,0.4843733,0.6485325,0.0,21.55477,Jawa Barat,Jawa,2
Gas,NON_PERTAMINA,ONSHORE,496.3,6580.0,103.4189099726196,0.1592146,215.5651,0.4281163,0.8034328,0.0,65.69857,Aceh,Sumatera,2
Gas,PERTAMINA,BOTH,101.6,8250.0,112.55295308197896,0.1809049,53.78799,0.5811311,0.819289,0.0,69.30984,Jawa Barat,Jawa,2
Gas,PERTAMINA,BOTH,14.208,8525.0,113.9424796590983,0.1549618,245.0844,0.7754797,0.8034328,0.0,7.070269,Jawa Barat,Jawa,2
Gas,PERTAMINA,BOTH,229.817,3064.0,77.69428618895824,0.3180478,160.4861,0.725852,0.8494478,0.0,20.56543,Jawa Barat,Jawa,2
Gas,PERTAMINA,BOTH,6.607,2713.0,74.23637201838207,0.1996727,662.887,0.6738354,0.7808007,0.0,3.952839,Jawa Barat,Jawa,2
Gas,PERTAMINA,BOTH,694.0,5315.0,95.477964095724,0.2198754,470.6643,0.7962128,0.739697,0.0,78.57355,Jawa Barat,Jawa,2
Gas,PERTAMINA,BOTH,158.409,4000.0,85.84414419803454,0.1990582,176.2061,0.6622619,0.7808007,0.0,67.94111,Jawa Barat,Jawa,2
Gas,PERTAMINA,BOTH,18.4,9000.0,116.27795192533304,0.1851337,59.8543,0.8547974,0.819289,0.0,91.67237,Jawa Barat,Jawa,2
Gas,PERTAMINA,BOTH,14.517,7750.0,109.9503265939446,0.2729813,879.6625,0.5943628,0.8365216,0.0,9.822957,Jawa Barat,Jawa,2
Gas,PERTAMINA,BOTH,14.517,7750.0,109.9503265939446,0.2729813,879.6625,0.5943628,0.8365216,0.0,9.822957,Jawa Barat,Jawa,2
