,fluid,field_name,operator,project_status,project_level,inplace,depth,temp,poro,perm,saturate,api_dens,visc,cap_cost,opr_cost,total_cost,avg_fluid_rate,location,region,NPV,PI
70,Gas,SUBAN,CONOCOPHILLIPS (GRISSIK) LTD.,ONSHORE,E0. On Production,6623.0,7100.0,152.9,0.06330901,201.2441,0.2000223,0.7195771,0.0,33.0221,83.73291,116.75501,17.20618,Sumatera Selatan,Sumatera,196.8172,1.6857280899551979
71,Gas,PANTAI,PT PERTAMINA HULU KALIMANTAN TIMUR,OFFSHORE,E0. On Production,44.054,2523.0,72.24657475124619,0.2618117,595.6729,0.6041095,0.8382971,0.0,53.53353,264.322,317.85553,72.31319,Selat Makasar,Kalimantan,27.89167,0.08774951941216817
72,Gas,SAPI,PT PERTAMINA HULU KALIMANTAN TIMUR,OFFSHORE,E0. On Production,201.0,8250.0,112.55295308197896,0.1820882,58.2107,0.6009694,0.819289,0.0,55.90171,35.02018,90.92189,64.21008,Selat Makasar,Kalimantan,12.30058,0.13528733289640152
73,Gas,SETURIAN,PT PERTAMINA HULU KALIMANTAN TIMUR,OFFSHORE,E0. On Production,141.018,7100.0,106.40467283715252,0.2234726,93.64886,0.5616331,0.6433482,0.0,129.8456,11.76008,141.60567999999998,32.92207,Selat Makasar,Kalimantan,149.9563,1.0589709395837796
74,Gas,SABAR,PETROCHINA INTERNATIONAL JABUNG LTD.,ONSHORE,E0. On Production,207.42,5300.0,95.37704372152862,0.2037659,148.4817,0.502045,0.8806835,0.0,187.4821,33.34017,220.82227,25.38097,Jambi,Sumatera,244.8879,1.1089818975232888
75,Gas,PGD,PT PERTAMINA HULU ENERGI JAMBI MERANG,ONSHORE,E0. On Production,267.67,6480.0,102.82795381979219,0.1686232,108.9766,0.5701774,0.8034328,0.0,33.1321,51.52946,84.66156000000001,13.04356,Sumatera Selatan,Sumatera,293.3202,3.4646207794895343
76,Gas,SKN,PT PERTAMINA HULU ENERGI JAMBI MERANG,ONSHORE,E0. On Production,1009.93,7011.0,105.90359193440366,0.1460565,17.18907,0.4308568,0.8031358,0.0,1.948919,41.2934,43.242318999999995,17.15965,Sumatera Selatan,Sumatera,118.6736,2.744385656097676
77,Gas,HIU,MEDCO E&P NATUNA LTD.,OFFSHORE,E0. On Production,194.0,5375.0,119.35000000000001,0.181778,58.2107,0.3802676,0.7798384,0.0,95.07819,1.202515,96.28070500000001,2.863511,Laut Natuna Utara,Sumatera,-5.556118,-0.05770749185935021
78,Gas,BATUR,KANGEAN ENERGY INDONESIA LTD.,BOTH,E0. On Production,102.82,3000.0,56.650000000000006,0.4352012,144.822,0.613657,0.5891273,0.0,170.7706,8.177822,178.948422,22.52037,Laut Jawa,Jawa,175.5437,0.980973724372937
79,Gas,SIRASUN,KANGEAN ENERGY INDONESIA LTD.,BOTH,E0. On Production,778.7,2000.0,66.2316006569589,0.3293346,325.2355,0.6503171,0.7776215,0.0,43.87106,11.8787,55.74976,87.5733,Laut Jawa,Jawa,71.12086,1.275715985145048
80,Gas,ARAR,PETROGAS (BASIN) LTD.,ONSHORE,E0. On Production,118.0,8747.0,151.7,0.1524349,29.37512,0.8967441,0.760285,0.0,88.0498,36.89531,124.94511,18.84172,Papua Barat,Timur,234.6856,1.8783096033130067
81,Gas,KLARI,PETROGAS (BASIN) LTD.,ONSHORE,E0. On Production,4.0,8300.0,112.80772706129542,0.1618008,59.33775,0.5663427,0.8034328,0.0,143.5297,476.9528,620.4825000000001,12.10605,Papua Barat,Timur,49.62472,0.07997763031189437
82,Gas,PETROGAS_FIELD,PETROGAS (BASIN) LTD.,ONSHORE,E0. On Production,15.2,8500.0,113.81732874428884,0.208427,1843.266,0.7420453,0.7076034,0.0,32.91079,6.594186,39.504976,7.070269,Papua Barat,Timur,12.41523,0.3142700301855645
